tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-08-16,72.0,31.0,17.0,140.0,15.0,140.0,O3,TIDAK SEHAT,
2018-08-17,62.0,31.0,15.0,154.0,13.0,154.0,O3,TIDAK SEHAT,
2018-08-18,62.0,30.0,14.0,143.0,14.0,143.0,O3,TIDAK SEHAT,
2018-08-19,79.0,32.0,20.0,149.0,13.0,149.0,O3,TIDAK SEHAT,
2018-08-20,80.0,30.0,19.0,101.0,11.0,101.0,O3,TIDAK SEHAT,
2018-08-21,73.0,32.0,16.0,122.0,11.0,122.0,O3,TIDAK SEHAT,
2018-08-22,62.0,31.0,16.0,164.0,9.0,164.0,O3,TIDAK SEHAT,
2018-08-23,62.0,30.0,17.0,161.0,16.0,161.0,O3,TIDAK SEHAT,
2018-08-24,81.0,32.0,22.0,110.0,18.0,110.0,O3,TIDAK SEHAT,
2018-08-25,76.0,31.0,19.0,202.0,13.0,202.0,O3,SANGAT TIDAK SEHAT,
2018-08-26,75.0,30.0,16.0,131.0,12.0,131.0,O3,TIDAK SEHAT,
2018-08-27,79.0,31.0,20.0,166.0,13.0,166.0,O3,TIDAK SEHAT,
2018-08-28,83.0,31.0,17.0,182.0,13.0,182.0,O3,TIDAK SEHAT,
2018-08-29,67.0,30.0,16.0,161.0,13.0,161.0,O3,TIDAK SEHAT,
2018-08-30,85.0,31.0,17.0,153.0,16.0,153.0,O3,TIDAK SEHAT,
2018-08-31,65.0,30.0,18.0,130.0,11.0,130.0,O3,TIDAK SEHAT,
2018-09-01,68.0,29.0,20.0,145.0,13.0,145.0,O3,TIDAK SEHAT,DKI5
2018-09-02,73.0,30.0,20.0,136.0,11.0,136.0,O3,TIDAK SEHAT,DKI5
2018-09-03,62.0,37.0,23.0,175.0,24.0,175.0,O3,TIDAK SEHAT,DKI5
2018-09-04,52.0,37.0,22.0,217.0,24.0,217.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-09-05,53.0,31.0,15.0,140.0,24.0,140.0,O3,TIDAK SEHAT,DKI5
2018-09-06,82.0,44.0,25.0,148.0,17.0,148.0,O3,TIDAK SEHAT,DKI5
2018-09-07,69.0,33.0,21.0,147.0,10.0,147.0,O3,TIDAK SEHAT,DKI5
2018-09-08,51.0,33.0,19.0,175.0,16.0,175.0,O3,TIDAK SEHAT,DKI5
2018-09-09,81.0,34.0,30.0,126.0,16.0,126.0,O3,TIDAK SEHAT,DKI5
2018-09-10,69.0,33.0,20.0,132.0,12.0,132.0,O3,TIDAK SEHAT,DKI5
2018-09-11,63.0,33.0,16.0,102.0,11.0,102.0,O3,TIDAK SEHAT,DKI5
2018-09-12,61.0,32.0,16.0,164.0,13.0,164.0,O3,TIDAK SEHAT,DKI2
2018-09-13,70.0,46.0,19.0,190.0,13.0,190.0,O3,TIDAK SEHAT,DKI5
2018-09-14,62.0,44.0,18.0,233.0,17.0,233.0,O3,SANGAT TIDAK SEHAT,DKI2
2018-09-15,68.0,37.0,17.0,196.0,23.0,196.0,O3,TIDAK SEHAT,DKI2
2018-09-16,82.0,34.0,15.0,119.0,11.0,119.0,O3,TIDAK SEHAT,DKI2
2018-09-17,62.0,33.0,17.0,83.0,14.0,83.0,O3,SEDANG,DKI5
2018-09-18,64.0,32.0,18.0,141.0,11.0,141.0,O3,TIDAK SEHAT,DKI5
2018-09-19,58.0,34.0,16.0,85.0,11.0,85.0,O3,SEDANG,DKI5
2018-09-20,70.0,34.0,19.0,77.0,12.0,77.0,O3,SEDANG,DKI5
2018-09-21,80.0,33.0,34.0,75.0,12.0,80.0,PM10,SEDANG,DKI4
2018-09-22,58.0,33.0,25.0,157.0,13.0,157.0,O3,TIDAK SEHAT,DKI5
2018-09-23,84.0,33.0,29.0,130.0,14.0,130.0,O3,TIDAK SEHAT,DKI5
2018-09-24,69.0,33.0,25.0,152.0,21.0,152.0,O3,TIDAK SEHAT,DKI5
2018-09-25,78.0,32.0,31.0,197.0,16.0,197.0,O3,TIDAK SEHAT,DKI5
2018-09-26,94.0,50.0,26.0,202.0,21.0,202.0,O3,SANGAT TIDAK SEHAT,DKI5
2018-09-27,72.0,37.0,21.0,146.0,18.0,146.0,O3,TIDAK SEHAT,DKI5
2018-09-28,70.0,33.0,22.0,194.0,17.0,194.0,O3,TIDAK SEHAT,DKI5
2018-09-29,62.0,33.0,21.0,165.0,15.0,165.0,O3,TIDAK SEHAT,DKI5
2018-09-30,63.0,32.0,20.0,145.0,11.0,145.0,O3,TIDAK SEHAT,DKI5
2018-10-01,92.0,33.0,17.0,124.0,12.0,124.0,O3,,DKI5
2018-10-02,76.0,41.0,22.0,88.0,21.0,88.0,O3,,DKI5
2018-10-03,70.0,32.0,20.0,144.0,11.0,144.0,O3,,DKI5
2018-10-04,73.0,32.0,24.0,109.0,11.0,109.0,O3,,DKI5
2018-10-05,67.0,34.0,18.0,146.0,13.0,146.0,O3,,DKI5
2018-10-06,70.0,33.0,21.0,123.0,12.0,123.0,O3,,DKI5
2018-10-07,87.0,34.0,22.0,128.0,12.0,128.0,O3,,DKI5
2018-10-08,66.0,34.0,19.0,185.0,12.0,185.0,O3,,DKI5
2018-10-09,62.0,34.0,19.0,173.0,11.0,173.0,O3,,DKI5
2018-10-10,79.0,36.0,24.0,190.0,18.0,190.0,O3,,DKI5
2018-10-11,81.0,36.0,17.0,149.0,13.0,149.0,O3,,DKI5
2018-10-12,77.0,35.0,22.0,118.0,16.0,118.0,O3,,DKI5
2018-10-13,64.0,35.0,20.0,189.0,25.0,189.0,O3,,DKI2
2018-10-14,86.0,35.0,20.0,138.0,16.0,138.0,O3,,DKI5
2018-10-15,73.0,33.0,19.0,119.0,12.0,119.0,O3,,DKI5
2018-10-16,74.0,33.0,23.0,210.0,19.0,210.0,O3,,DKI5
2018-10-17,75.0,34.0,23.0,217.0,19.0,217.0,O3,,DKI5
